A10.1	Adults Critical limb ischaemia Prostanoids Placebo mortality reduction
A10.2	Adults Critical limb ischaemia Prostanoids other pharmaceuticals controls disease progression reduction
A11.1	Adults Schizophrenia and schizophrenia-like symptoms Quetiapine Other second generation antipsychotic drugs Drug effects
A12.1	Adults Chronic asthma Regular formoterol + inhaled corticosteroids Regular selmeterol + inhaled corticosteroids Mortality risk
A12.2	Adults Chronic asthma Regular formoterol + inhaled corticosteroids Regular selmeterol + inhaled corticosteroids Non-fatal serious adverse events
A13.1	Older adults Hip fracture interventions aimed at improving physical and psychosocial functioning No intervention physical and psychosocial function
A13.2	Older adults Hip fracture interventions aimed at improving physical and psychosocial functioning No intervention "poor outcome" (composite of mortality, failure to return to independent living and/or readmission)
A14.1	Women Pericoital Pre- and postcoital hormonal contraception No intervention Pregnancy prevention
A15.1	Women Labour (labor) oral fluid or food restriction free eating and drinking Benefits and harm
A16.1	Young adults Regularly practicing sports Interventions No interventions preventing hamstring injuries
A16.2	Young adults Regularly practicing sports Interventions No interventions Compliance
A17.1	Adults Barrett's oesophagus Pharmacological treatment Endoscopic Treatment Complete eradication of Barret's oesophagus
A17.2	Adults Barrett's oesophagus Pharmacological treatment Non-resectional surgical treatment Complete eradication of dysplasia
A18.1	Adults Undergoing medical imaging procedures assessing risk of disease or of an existing condition Visual feedback of images of individual's bodies No feedback Increase or decrease in health behaviours
A19.1	Children and Adults Asthma Methods based on exhaled nitric oxide Methods based on primarily clinical symptoms and spirometry/peak flow Efficacy of therapy adjustment
A20.1	Adults Advanced hepatocellular carcinoma Tamoxifen Placebo Survival
A20.2	Adults Advanced hepatocellular carcinoma Tamoxifen Best supportive care quality of life
A21.1	Adults Retinal detachment with proliferative vitreoretinopathy Surgery + silicone oil Surgery + sulphur hexafluoride adverse outcomes
A1.1	Obese patients Non-alcoholic steatohepatitis (NASH) Bariatric surgery No intervention All-cause mortality
A1.2	Obese patients Non-alcoholic steatohepatitis (NASH) Bariatric surgery Placebo (Sham procedure) Surgical-related mortality
A2.1	Adult patients advanced cancer and COPD Benzodiazepines (alprazolam, lorazepam, midazolam, etc) Placebo breathlessness relief
A2.2	Adult patients advanced cancer and COPD Benzodiazepines (alprazolam, lorazepam, midazolam, etc) Morphine breathlessness relief
A3.1	Adult patients Primary Hypertension Beta-blockers and drug from another class of anti-hypertensive the other drug from another class of anti-hypertensive alone effect on blood pressure and heart rate
A22.1	Men Benign prostatic hyperplasia Tamusolin Placebo Lower urinary tract symptoms
A22.2	Men Benign prostatic hyperplasia Tamusolin Surgical interventions Urodynamic measures
A23.1	Adults General anaesthesia Target-controlled infusion manually-controlled infusion Sedation
A23.2	Adults General anaesthesia Target-controlled infusion manually-controlled infusion Adverse events
A24.1	Adults Advanced renal cell carcinoma Targeted agents Different doses of same agent Remission rate
A24.2	Adults Advanced renal cell carcinoma Targeted agents Standard interferon-alfa Overall survival
A25.1	Adults Asthma Tartrazine Placebo Asthma exacerbation
A25.2	Adults Asthma Tartrazine dietary avoidance Normal diet Asthma exacerbation
A26.1	Women Early breast cancer chemotherapy containing Taxane chemotherapy no containing Taxane Overall survival
A26.2	Women Early breast cancer chemotherapy containing Taxane chemotherapy no containing Taxane disease-free survival
A27.1	Women Caesarean section closure of subcutaneous fat non-closure of subcutaneous fat Postoperative recovery
A27.2	Women Caesarean section any suturing technique or material used for closure of the rectus sheath any other technique Healthcare resource use
A28.1	Children healthy, < or = 15 years old MMR Placebo Viral Infection
A28.2	Children healthy, < or = 15 years old MMR Placebo Unintended effects
A29.1	Adults and teenagers Anthrax seronegative individuals (>14) anthrax vaccine Placebo Immunogenicity
A29.2	Adults and teenagers Anthrax seronegative individuals anthrax vaccine Placebo vaccine safety
A30.1	Different ages Cystic fibrosis Pseudomonas aeruginosa vaccines Control vaccines Pseudomonas aeruginosa
A30.2	Different ages Cystic fibrosis Pseudomonas aeruginosa vaccines No intervention Pseudomonas aeruginosa
A31.1	Adults Health-care workers Hepatitis B plasma-derived vaccine Placebo Hepatitis B events
A31.2	Adults Health-care workers Hepatitis B recombinant vaccine No intervention Hepatitis B events
A32.1	Adults and children Asthma Influenza vaccine No vaccine Asthma exacerbations
